127.0.0.1, 2014-08-20 14:30:34, GET, /admin/default/delete/basic_rest/models/db.py, HTTP/1.1, 200, 0.062927
127.0.0.1, 2014-08-20 14:30:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2014-08-20 14:30:35, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.109482
127.0.0.1, 2014-08-20 14:30:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/design/rgb(230, HTTP/1.1, 303, 0.040353
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/design/230), HTTP/1.1, 303, 0.076612
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/design/230, HTTP/1.1, 303, 0.107473
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/design/255, HTTP/1.1, 303, 0.147653
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/design/linear-gradient(rgb(255, HTTP/1.1, 303, 0.181383
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/site, HTTP/1.1, 200, 0.191979
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/site, HTTP/1.1, 200, 0.054283
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/site, HTTP/1.1, 200, 0.113683
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/site, HTTP/1.1, 200, 0.193421
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/site, HTTP/1.1, 200, 0.248234
127.0.0.1, 2014-08-20 14:30:36, GET, /admin/default/peek/basic_rest/models/db.py, HTTP/1.1, 200, 0.044399
127.0.0.1, 2014-08-20 14:30:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
127.0.0.1, 2014-08-20 14:30:37, GET, /admin/default/peek/basic_rest/models/linear-gradient(rgb(255, HTTP/1.1, 303, 0.038825
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/peek/basic_rest/models/255, HTTP/1.1, 303, 0.078302
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/peek/basic_rest/models/230, HTTP/1.1, 303, 0.121643
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/peek/basic_rest/models/230), HTTP/1.1, 303, 0.173890
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/peek/basic_rest/models/rgb(230, HTTP/1.1, 303, 0.203356
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/site, HTTP/1.1, 200, 0.184570
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/site, HTTP/1.1, 200, 0.072316
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/site, HTTP/1.1, 200, 0.133901
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/site, HTTP/1.1, 200, 0.190313
127.0.0.1, 2014-08-20 14:30:38, GET, /admin/default/site, HTTP/1.1, 200, 0.183822
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/230), HTTP/1.1, 303, 0.035102
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/rgb(230, HTTP/1.1, 303, 0.067148
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/230, HTTP/1.1, 303, 0.102270
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/linear-gradient(rgb(255, HTTP/1.1, 303, 0.138119
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/255, HTTP/1.1, 303, 0.174362
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.191945
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.060708
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.111301
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.166033
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.216691
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/linear-gradient(rgb(255, HTTP/1.1, 303, 0.033789
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/255, HTTP/1.1, 303, 0.065298
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/230), HTTP/1.1, 303, 0.100460
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/rgb(230, HTTP/1.1, 303, 0.135623
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/peek/basic_rest/models/230, HTTP/1.1, 303, 0.169238
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.188032
127.0.0.1, 2014-08-20 14:30:41, GET, /admin/default/site, HTTP/1.1, 200, 0.063181
